media_pH,media_temp_oC,drug_loading,Z_average_nm,API_type,weighted_Mw,weighted_Tm,cluster
7.4,37.0,0.2,141.2,5,752.1,36.9,3
7.4,37.0,0.05,135.1,5,1126.6,29.5,3
6.0,37.0,0.05,135.1,5,1126.6,29.5,1
7.4,37.0,0.125,87.03,5,738.2,32.7,3
7.4,37.0,0.1,143.0,5,746.3,37.4,3
7.4,37.0,0.1,183.0,5,746.3,37.4,3
6.0,37.0,0.125,86.2,5,742.7,32.4,3
6.0,45.0,0.125,86.2,5,742.7,32.4,1
6.0,55.0,0.125,86.2,5,742.7,32.4,2
6.0,45.0,0.125,91.0,5,742.7,32.4,1
6.0,45.0,0.125,79.4,5,742.7,32.4,1
6.0,45.0,0.125,87.0,5,742.7,32.4,2
6.0,45.0,0.125,84.2,5,727.2,1.0,2
6.0,45.0,0.125,86.0,5,734.2,32.1,2
6.0,45.0,0.125,91.0,5,734.2,32.1,2
6.0,45.0,0.125,111.0,5,734.2,32.1,2
6.0,45.0,0.125,87.0,5,734.2,32.1,2
6.6,45.0,0.125,99.0,5,734.2,32.1,1
6.6,45.0,0.125,101.0,5,734.2,32.1,1
6.6,45.0,0.125,92.0,5,782.7,35.8,1
6.0,45.0,0.125,93.0,5,782.7,35.8,2
6.0,45.0,0.125,88.0,5,725.8,34.6,2
7.4,37.0,0.125,87.0,5,734.2,32.1,3
7.4,37.0,0.125,93.0,5,782.7,35.8,3
7.4,37.0,0.125,111.0,5,734.2,32.1,3
6.6,45.0,0.125,118.0,5,734.2,32.1,1
7.4,55.0,0.14,100.4,2,687.0,39.7,1
7.4,55.0,0.15,112.3,2,690.8,40.2,1
7.4,55.0,0.13,104.5,2,690.2,40.1,1
7.4,55.0,0.14,98.9,2,679.5,38.8,1
7.4,45.0,0.14,102.0,2,687.0,39.7,3
7.4,55.0,0.14,102.0,2,687.0,39.7,1
7.4,60.0,0.14,102.0,2,687.0,39.7,1
7.4,55.0,0.14,100.0,2,687.0,39.7,1
7.4,55.0,0.14,95.3,2,687.0,39.7,1
7.4,55.0,0.14,117.4,2,685.1,39.5,1
7.4,55.0,0.14,115.8,2,685.1,39.5,1
7.4,55.0,0.14,88.6,2,685.1,39.5,1
7.4,37.0,0.05,135.0,6,616.7,0.0,1
7.4,37.0,0.05,200.0,6,652.6,0.3,1
7.4,37.0,0.5,1670.0,3,790.1,55.0,2
7.4,37.0,0.5,795.0,3,606.6,16.8,2
7.4,37.0,0.09,788.0,7,678.0,24.0,1
7.4,37.0,0.09,1370.0,7,734.0,41.0,2
7.4,37.0,0.09,1670.0,7,790.1,55.0,2
7.4,37.0,0.09,820.0,7,532.3,12.0,3
7.4,37.0,0.09,795.0,7,606.6,16.8,1
7.4,37.0,0.5,30.0,3,678.0,24.0,1
7.4,37.0,0.5,35.0,3,790.1,55.0,1
7.4,37.0,0.5,31.0,3,532.3,12.0,2
7.4,37.0,0.5,30.0,3,606.6,16.8,2
7.4,37.0,0.09,30.0,7,678.0,24.0,3
7.4,37.0,0.09,32.0,7,734.0,41.0,3
7.4,37.0,0.09,35.0,7,790.1,55.0,1
7.4,37.0,0.09,31.0,7,532.3,12.0,3
7.4,37.0,0.09,30.0,7,606.6,16.8,1
7.0,37.0,0.45,25500.0,4,590.6,6.3,3
7.4,37.0,0.5,131.0,1,586.4,27.2,2
7.4,37.0,0.5,159.3,1,712.5,20.0,2
7.4,37.0,0.05,168.3,0,844.8,60.9,1
5.5,37.0,0.05,168.3,0,844.8,60.9,2
7.4,37.0,0.08,104.0,9,735.1,41.0,1
7.4,37.0,0.05,1050.0,8,665.7,16.4,3
7.4,37.0,0.05,100.0,8,690.9,18.3,3
7.4,37.0,0.05,100.0,8,665.7,16.4,3
7.4,37.0,0.05,1260.0,10,665.7,16.4,3
7.4,37.0,0.05,1140.0,10,690.9,18.3,3
7.4,37.0,0.015,143.0,5,646.1,40.3,3
7.4,37.0,0.017,82.0,5,648.8,44.6,1
7.4,37.0,0.017,104.0,5,655.5,51.1,1
7.4,37.0,0.015,84.0,5,666.9,51.3,1
7.4,37.0,0.013,110.0,5,721.7,44.5,2
7.4,37.0,0.017,266.0,5,717.9,48.9,1
7.4,37.0,0.1,103.9,5,608.5,29.5,3
7.4,37.0,0.1,105.2,5,650.7,29.5,3
7.4,37.0,0.1,101.1,5,564.5,20.1,3
7.4,37.0,0.1,102.0,5,606.7,20.1,3
