release_method,media_pH,media_temp_oC,drug_loading,structure_type,Z_average_nm,API_type,weighted_Mw,weighted_Tm,cluster
1,7.4,37.0,0.2,0,141.2,5,752.1,36.9,3
1,7.4,37.0,0.05,0,135.1,5,1126.6,29.5,3
1,6.0,37.0,0.05,0,135.1,5,1126.6,29.5,1
3,7.4,37.0,0.125,2,87.03,5,738.2,32.7,3
1,7.4,37.0,0.1,0,143.0,5,746.3,37.4,3
1,7.4,37.0,0.1,0,183.0,5,746.3,37.4,3
4,6.0,37.0,0.125,2,86.2,5,742.7,32.4,3
4,6.0,45.0,0.125,2,86.2,5,742.7,32.4,1
4,6.0,55.0,0.125,2,86.2,5,742.7,32.4,2
4,6.0,45.0,0.125,2,91.0,5,742.7,32.4,1
4,6.0,45.0,0.125,2,79.4,5,742.7,32.4,1
4,6.0,45.0,0.125,2,87.0,5,742.7,32.4,2
4,6.0,45.0,0.125,2,84.2,5,727.2,1.0,2
4,6.0,45.0,0.125,2,86.0,5,734.2,32.1,2
4,6.0,45.0,0.125,2,91.0,5,734.2,32.1,2
4,6.0,45.0,0.125,0,111.0,5,734.2,32.1,2
4,6.0,45.0,0.125,2,87.0,5,734.2,32.1,2
1,6.6,45.0,0.125,2,99.0,5,734.2,32.1,1
1,6.6,45.0,0.125,2,101.0,5,734.2,32.1,1
1,6.6,45.0,0.125,2,92.0,5,782.7,35.8,1
4,6.0,45.0,0.125,2,93.0,5,782.7,35.8,2
4,6.0,45.0,0.125,2,88.0,5,725.8,34.6,2
1,7.4,37.0,0.125,2,87.0,5,734.2,32.1,3
1,7.4,37.0,0.125,2,93.0,5,782.7,35.8,3
1,7.4,37.0,0.125,0,111.0,5,734.2,32.1,3
1,6.6,45.0,0.125,0,118.0,5,734.2,32.1,1
4,7.4,55.0,0.14,2,100.4,2,687.0,39.7,1
4,7.4,55.0,0.15,0,112.3,2,690.8,40.2,1
4,7.4,55.0,0.13,0,104.5,2,690.2,40.1,1
4,7.4,55.0,0.14,2,98.9,2,679.5,38.8,1
0,7.4,45.0,0.14,0,102.0,2,687.0,39.7,3
0,7.4,55.0,0.14,0,102.0,2,687.0,39.7,1
0,7.4,60.0,0.14,0,102.0,2,687.0,39.7,1
4,7.4,55.0,0.14,0,102.0,2,687.0,39.7,1
4,7.4,55.0,0.14,2,100.0,2,687.0,39.7,1
4,7.4,55.0,0.14,2,95.3,2,687.0,39.7,1
4,7.4,55.0,0.14,0,117.4,2,685.1,39.5,1
4,7.4,55.0,0.14,0,115.8,2,685.1,39.5,1
4,7.4,55.0,0.14,2,88.6,2,685.1,39.5,1
1,7.4,37.0,0.05,0,135.0,6,616.7,0.0,1
1,7.4,37.0,0.05,0,200.0,6,652.6,0.3,1
1,7.4,37.0,0.5,1,1670.0,3,790.1,55.0,2
1,7.4,37.0,0.5,1,795.0,3,606.6,16.8,2
1,7.4,37.0,0.09,1,788.0,7,678.0,24.0,1
1,7.4,37.0,0.09,1,1370.0,7,734.0,41.0,2
1,7.4,37.0,0.09,1,1670.0,7,790.1,55.0,2
1,7.4,37.0,0.09,1,820.0,7,532.3,12.0,3
1,7.4,37.0,0.09,1,795.0,7,606.6,16.8,1
1,7.4,37.0,0.5,2,30.0,3,678.0,24.0,1
1,7.4,37.0,0.5,2,35.0,3,790.1,55.0,1
1,7.4,37.0,0.5,2,31.0,3,532.3,12.0,2
1,7.4,37.0,0.5,2,30.0,3,606.6,16.8,2
1,7.4,37.0,0.09,2,30.0,7,678.0,24.0,3
1,7.4,37.0,0.09,2,32.0,7,734.0,41.0,3
1,7.4,37.0,0.09,2,35.0,7,790.1,55.0,1
1,7.4,37.0,0.09,2,31.0,7,532.3,12.0,3
1,7.4,37.0,0.09,2,30.0,7,606.6,16.8,1
5,7.0,37.0,0.45,1,25500.0,4,590.6,6.3,3
1,7.4,37.0,0.5,0,131.0,1,586.4,27.2,2
1,7.4,37.0,0.5,0,159.3,1,712.5,20.0,2
1,7.4,37.0,0.05,0,168.3,0,844.8,60.9,1
1,5.5,37.0,0.05,0,168.3,0,844.8,60.9,2
2,7.4,37.0,0.08,2,104.0,9,735.1,41.0,1
1,7.4,37.0,0.05,1,1050.0,8,665.7,16.4,3
1,7.4,37.0,0.05,1,100.0,8,690.9,18.3,3
1,7.4,37.0,0.05,1,100.0,8,665.7,16.4,3
1,7.4,37.0,0.05,1,1260.0,10,665.7,16.4,3
1,7.4,37.0,0.05,1,1140.0,10,690.9,18.3,3
1,7.4,37.0,0.015,0,143.0,5,646.1,40.3,3
1,7.4,37.0,0.017,2,82.0,5,648.8,44.6,1
1,7.4,37.0,0.017,0,104.0,5,655.5,51.1,1
1,7.4,37.0,0.015,2,84.0,5,666.9,51.3,1
1,7.4,37.0,0.013,0,110.0,5,721.7,44.5,2
1,7.4,37.0,0.017,0,266.0,5,717.9,48.9,1
1,7.4,37.0,0.1,0,103.9,5,608.5,29.5,3
1,7.4,37.0,0.1,0,105.2,5,650.7,29.5,3
1,7.4,37.0,0.1,0,101.1,5,564.5,20.1,3
1,7.4,37.0,0.1,0,102.0,5,606.7,20.1,3
